category,product_id,article_code,product_name,product_type,color_variant,is_primary,status,soldout_flag,match_quality,unsplash_photo_url,photo_title,intended_filename,notes,searched_on
Men's Shirts,1,MS-FS-001,Regent Oxford Formal Shirt,Long-sleeve Oxford formal shirt,White,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/man-in-white-dress-shirt-Kh9848XlZe8,Man in white dress shirt,ms-fs-001_white_hero.webp,White formal dress shirt; model photo.,2026-08-06
Men's Shirts,1,MS-FS-001,Regent Oxford Formal Shirt,Long-sleeve Oxford formal shirt,Light blue,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/young-man-in-a-light-blue-shirt-looking-back-OYc2VNmIstA,Young man in a light blue shirt,ms-fs-001_light-blue_hero.webp,Light-blue collared shirt; model photo.,2026-08-06
Men's Shirts,1,MS-FS-001,Regent Oxford Formal Shirt,Long-sleeve Oxford formal shirt,Black,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/mens-black-dress-shirt-hNoSCxPWYII,Men's black dress shirt,ms-fs-001_black_hero.webp,Black dress shirt; model photo.,2026-08-06
Men's Shirts,2,MS-CS-002,Harbor Linen Blend Shirt,Relaxed long-sleeve linen-blend shirt,Light blue,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/a-blue-shirt-hanging-on-a-white-wall-vcTKFYNZop4,Blue shirt hanging on wall,ms-cs-002_light-blue_hero.webp,Blue linen shirt; isolated hanging presentation.,2026-08-06
Men's Shirts,2,MS-CS-002,Harbor Linen Blend Shirt,Relaxed long-sleeve linen-blend shirt,White,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/stylish-woman-in-white-linen-shirt-and-shorts-outdoors-EFCmSAeIT8E,White linen shirt outdoors,ms-cs-002_white_hero.webp,"White linen shirt is visible, but worn by a woman and shown as an outfit.",2026-08-06
Men's Shirts,2,MS-CS-002,Harbor Linen Blend Shirt,Relaxed long-sleeve linen-blend shirt,Beige,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/man-in-beige-collared-shirt-iUhzZ3tUmXE,Man in beige collared shirt,ms-cs-002_beige_hero.webp,Beige collared shirt; linen texture is not confirmed.,2026-08-06
Men's Shirts,3,MS-CS-003,Essential Cotton Button-Down,Smart-casual cotton button-down shirt,Pale blue,True,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/a-blue-shirt-hanging-on-a-wooden-stand-HGqPrIJAOBY,Blue shirt on wooden stand,ms-cs-003_pale-blue_hero.webp,Pale-blue button shirt; product-focused hanging image.,2026-08-06
Men's Shirts,3,MS-CS-003,Essential Cotton Button-Down,Smart-casual cotton button-down shirt,White,False,AVAILABLE,False,COLOR_AND_TYPE_MATCH,https://unsplash.com/photos/mens-white-button-up-collared-shirt-XYeKylILW5I,Men's white button-up shirt,ms-cs-003_white_hero.webp,White button-up collared shirt.,2026-08-06
Men's Shirts,3,MS-CS-003,Essential Cotton Button-Down,Smart-casual cotton button-down shirt,Navy,False,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/mens-blue-button-up-shirt-pyTOsURAO7M,Men's blue button-up shirt,ms-cs-003_navy_hero.webp,Blue button-up shirt; shade may be lighter than navy.,2026-08-06
Men's Shirts,4,MS-TS-004,City Grid Graphic T-Shirt,Urban graphic crew-neck T-shirt,Black,True,CLOSEST_MATCH,False,COLOR_AND_TYPE_CLOSE,https://unsplash.com/photos/man-wearing-black-t-shirt-with-space-vision-graphic-ksIPDQduysA,Black graphic T-shirt,ms-ts-004_black_hero.webp,Black graphic crew tee; graphic differs from the fictional city-grid design.,2026-08-06
